mp,sim,full_name,member
15658,0.8275711027,Шкварилюк Володимир,"Фракція Політичної партії "НАРОДНИЙ ФРОНТ"
10096,0.8269263774,Романюк Роман,"Фракція ПАРТІЇ "БЛОК ПЕТРА ПОРОШЕНКА"
18082,0.8258370833,Дзюблик Павло,"Фракція Політичної партії "НАРОДНИЙ ФРОНТ"
18075,0.8252131011,Горват Роберт,"Фракція ПАРТІЇ "БЛОК ПЕТРА ПОРОШЕНКА"
11342,0.8250922466,Матузко Олена,"Фракція ПАРТІЇ "БЛОК ПЕТРА ПОРОШЕНКА"
16618,0.8244051304,Кадикало Микола,"Фракція Політичної партії "НАРОДНИЙ ФРОНТ"
17954,0.8231286152,Сидорчук Вадим,"Фракція Політичної партії "НАРОДНИЙ ФРОНТ"
18117,0.822541537,Люшняк Микола,"Фракція ПАРТІЇ "БЛОК ПЕТРА ПОРОШЕНКА"
18092,0.8221604236,Іщейкін Костянтин,"Фракція ПАРТІЇ "БЛОК ПЕТРА ПОРОШЕНКА"
16716,0.8214149958,Єфремова Ірина,"Фракція Політичної партії "НАРОДНИЙ ФРОНТ"
15839,0.8194652083,Андрієвський Дмитро,"Фракція ПАРТІЇ "БЛОК ПЕТРА ПОРОШЕНКА"
9684,0.8178636582,Фріз Ірина,"Фракція ПАРТІЇ "БЛОК ПЕТРА ПОРОШЕНКА"
15901,0.8178450591,Кривошея Геннадій,"Фракція Політичної партії "НАРОДНИЙ ФРОНТ"
18151,0.8162217369,Яніцький Василь,"Фракція ПАРТІЇ "БЛОК ПЕТРА ПОРОШЕНКА"
18110,0.8160769117,Куліченко Іван,"Фракція ПАРТІЇ "БЛОК ПЕТРА ПОРОШЕНКА"
18222,0.815695667,Дроздик Олександр,"Фракція Політичної партії "НАРОДНИЙ ФРОНТ"
15730,0.8156896954,Заболотний Григорій,"Фракція ПАРТІЇ "БЛОК ПЕТРА ПОРОШЕНКА"
18163,0.8145173321,Македон Юрій,"Фракція ПАРТІЇ "БЛОК ПЕТРА ПОРОШЕНКА"
18141,0.8137527101,Тимошенко Юрій,Позафракційні
17980,0.8102900059,Южаніна Ніна,"Фракція ПАРТІЇ "БЛОК ПЕТРА ПОРОШЕНКА"
15767,0.8099853629,Дирів Анатолій,"Фракція Політичної партії "НАРОДНИЙ ФРОНТ"
17963,0.8091029945,Висоцький Сергій,"Фракція Політичної партії "НАРОДНИЙ ФРОНТ"
15790,0.8088781653,Дубневич Ярослав,"Фракція ПАРТІЇ "БЛОК ПЕТРА ПОРОШЕНКА"
18095,0.8049480908,Козир Борис,"Фракція ПАРТІЇ "БЛОК ПЕТРА ПОРОШЕНКА"
6332,0.8037399391,Лук'янчук Руслан,"Фракція Політичної партії "НАРОДНИЙ ФРОНТ"
18126,0.8035902623,Петренко Олег,Позафракційні
18138,0.8035346836,Сташук Віталій,"Фракція Політичної партії "НАРОДНИЙ ФРОНТ"
11596,0.8027605354,Войцеховська Світлана,"Фракція Політичної партії "НАРОДНИЙ ФРОНТ"
15774,0.7987676743,Різаненко Павло,"Фракція ПАРТІЇ "БЛОК ПЕТРА ПОРОШЕНКА"
8125,0.796243026,Пинзеник Павло,"Фракція Політичної партії "НАРОДНИЙ ФРОНТ"
15645,0.7958984906,Княжицький Микола,"Фракція Політичної партії "НАРОДНИЙ ФРОНТ"
15785,0.7954962598,Хміль Михайло,"Фракція Політичної партії "НАРОДНИЙ ФРОНТ"
17986,0.7934907115,Денисенко Вадим,"Фракція ПАРТІЇ "БЛОК ПЕТРА ПОРОШЕНКА"
18245,0.7932902465,Романовський Олександр,"Фракція Політичної партії "НАРОДНИЙ ФРОНТ"
Samopomich,0.7929238057,Самопоміч,NA
18080,0.7917759258,Демчак Руслан,"Фракція ПАРТІЇ "БЛОК ПЕТРА ПОРОШЕНКА"
17994,0.7913568859,Бакуменко Олександр,"Фракція ПАРТІЇ "БЛОК ПЕТРА ПОРОШЕНКА"
15672,0.790957079,Іонова Марія,"Фракція ПАРТІЇ "БЛОК ПЕТРА ПОРОШЕНКА"
17946,0.790716501,Чорновол Тетяна,"Фракція Політичної партії "НАРОДНИЙ ФРОНТ"
8696,0.7904777737,Пашинський Сергій,"Фракція Політичної партії "НАРОДНИЙ ФРОНТ"
